ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.0151,6.9528,5.0566,-0.4884,6.5387,7.2922,-0.0408,-1.1159,-2.6541,-0.2834,0.4801,0.1417,1,28.13,-24.5,-33.56,275.16,-39.38,-1.34,5,39.14,48.1635,11.558943,,NaN,,20.76,,21-Mar,"$GNGSA,A,1,5,13,66,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*18::$GPGSV,6,3,24,24,5,,,27,4,23,,28,45,140,25,30,70,61,34*44::$GPGSA,A,1,5,13,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*06::$BDGSV,6,6,24,205,13,128,,207,8,39,,210,32,51,,214,33,155,*57::$QZGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2D::$GLGSA,A,1,66,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2D::$GPRMC,164738.77,V,4809.8120,N,01133.5356,E,0.000,0.000,121118,,E,N*0D::$GPGGA,164738.77,4809.8120,N,01133.5356,E,0,3,100.000,0.000,M,,M,0,*75::$GLGSV,6,5,24,75,86,89,32,76,42,215,21,82,6,325,,83,8,11,*65::$BDGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*20",5014,2018-11-12 17:47:38:970
0.0766,5.5833,4.9129,0.1759,6.2656,7.5419,-0.0187,-1.9667,-1.1704,0.3323,-0.2737,-0.1148,1,24.69,-24,-32.12,278.7,-40.98,2.62,5,40.274,48.1635,11.558943,,NaN,,20.76,,21-Mar,"$GNGSA,A,1,5,13,66,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*18::$GPGSV,6,3,24,24,5,,,27,4,23,,28,45,140,25,30,70,61,34*44::$GPGSA,A,1,5,13,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*06::$BDGSV,6,6,24,205,13,128,,207,8,39,,210,32,51,,214,33,155,*57::$QZGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2D::$GLGSA,A,1,66,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2D::$GPRMC,164738.77,V,4809.8120,N,01133.5356,E,0.000,0.000,121118,,E,N*0D::$GPGGA,164738.77,4809.8120,N,01133.5356,E,0,3,100.000,0.000,M,,M,0,*75::$GLGSV,6,5,24,75,86,89,32,76,42,215,21,82,6,325,,83,8,11,*65::$BDGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*20",5514,2018-11-12 17:47:39:470
-0.8906,6.541,5.2768,-0.2374,6.6963,7.1605,-0.3481,-1.2917,-3.7655,-0.0709,0.2773,-0.2309,1,24.94,-23.37,-33.56,279.31,-41.19,-2.51,5,38.741,48.16345,11.558114,629.83,NaN,4.27,19,0,21-Sep,"$GNGSA,A,3,5,7,13,15,28,30,65,66,75,,,,,,,,,,,,2.440,1.382,2.011*28::$GPGSV,6,3,24,24,5,,,27,4,23,,28,45,140,31,30,70,61,34*41::$GPGSA,A,3,5,7,13,15,28,30,,,,,,,,,,,,,,,2.440,1.382,2.011*37::$BDGSV,6,6,24,205,17,125,,207,8,39,,210,32,51,,214,33,155,*5E::$QZGSA,A,3,,,,,,,,,,,,,,,,,,,,,2.440,1.382,2.011*26::$GLGSA,A,3,65,66,75,,,,,,,,,,,,,,,,,,2.440,1.382,2.011*27::$GPRMC,164741.04,A,4809.8067,N,01133.4868,E,2.306,0.000,121118,,E,A*1D::$GPGGA,164741.04,4809.8067,N,01133.4868,E,1,9,1.382,629.829,M,,M,0,*76::$GLGSV,6,5,24,75,86,89,33,76,42,215,21,82,6,325,,83,8,11,*64::$BDGSA,A,3,,,,,,,,,,,,,,,,,,,,,2.440,1.382,2.011*2B",6014,2018-11-12 17:47:39:970
-0.1532,5.2002,6.6846,0.0468,6.5153,7.3293,-0.0657,-1.4804,-0.5571,0.3555,-0.1845,-0.1735,1,23.25,-24.31,-31.56,276.08,-39.18,2.74,5,39.912,48.16345,11.558114,629.83,NaN,4.27,19,0,21-Sep,"$GNGSA,A,3,5,7,13,15,28,30,65,66,75,,,,,,,,,,,,2.440,1.382,2.011*28::$GPGSV,6,3,24,24,5,,,27,4,23,,28,45,140,31,30,70,61,34*41::$GPGSA,A,3,5,7,13,15,28,30,,,,,,,,,,,,,,,2.440,1.382,2.011*37::$BDGSV,6,6,24,205,17,125,,207,8,39,,210,32,51,,214,33,155,*5E::$QZGSA,A,3,,,,,,,,,,,,,,,,,,,,,2.440,1.382,2.011*26::$GLGSA,A,3,65,66,75,,,,,,,,,,,,,,,,,,2.440,1.382,2.011*27::$GPRMC,164741.04,A,4809.8067,N,01133.4868,E,2.306,0.000,121118,,E,A*1D::$GPGGA,164741.04,4809.8067,N,01133.4868,E,1,9,1.382,629.829,M,,M,0,*76::$GLGSV,6,5,24,75,86,89,33,76,42,215,21,82,6,325,,83,8,11,*64::$BDGSA,A,3,,,,,,,,,,,,,,,,,,,,,2.440,1.382,2.011*2B",6514,2018-11-12 17:47:40:470
-0.9864,5.9376,5.4875,-0.3686,6.8683,6.99,-1.3807,1.8079,1.72,0.2431,0.1295,-0.0892,2,25.5,-23.37,-30.31,282.76,-44.46,3.02,5,38.769,48.16345,11.558114,629.83,NaN,4.27,19,0,21-Oct,"$GNGSA,A,3,5,7,13,15,28,30,65,66,75,76,,,,,,,,,,,2.135,1.141,1.805*2D::$GPGSV,6,3,24,24,5,,,27,4,23,,28,45,140,31,30,70,61,33*46::$GPGSA,A,3,5,7,13,15,28,30,,,,,,,,,,,,,,,2.135,1.141,1.805*33::$BDGSV,6,6,24,205,17,125,,207,8,39,,210,32,51,,214,33,155,*5E::$QZGSA,A,3,,,,,,,,,,,,,,,,,,,,,2.135,1.141,1.805*22::$GLGSA,A,3,65,66,75,76,,,,,,,,,,,,,,,,,2.135,1.141,1.805*22::$GPRMC,164742.04,A,4809.8070,N,01133.4869,E,2.125,0.000,121118,,E,A*1A::$GPGGA,164742.04,4809.8070,N,01133.4869,E,1,10,1.141,641.214,M,,M,0,*4D::$GLGSV,6,5,24,75,86,89,33,76,42,215,22,82,6,325,,83,8,11,*67::$BDGSA,A,3,,,,,,,,,,,,,,,,,,,,,2.135,1.141,1.805*2F",7014,2018-11-12 17:47:40:970
1.3408,9.8737,7.3933,-0.1845,6.8167,7.0475,0.7668,2.3094,1.072,0.2089,-0.1662,-0.1051,3,21.13,-25,-28.69,277.21,-44.04,1.5,5,57.413,48.16345,11.558114,629.83,NaN,4.27,19,0,21-Oct,"$GNGSA,A,3,5,7,13,15,28,30,65,66,75,76,,,,,,,,,,,2.135,1.141,1.805*2D::$GPGSV,6,3,24,24,5,,,27,4,23,,28,45,140,31,30,70,61,33*46::$GPGSA,A,3,5,7,13,15,28,30,,,,,,,,,,,,,,,2.135,1.141,1.805*33::$BDGSV,6,6,24,205,17,125,,207,8,39,,210,32,51,,214,33,155,*5E::$QZGSA,A,3,,,,,,,,,,,,,,,,,,,,,2.135,1.141,1.805*22::$GLGSA,A,3,65,66,75,76,,,,,,,,,,,,,,,,,2.135,1.141,1.805*22::$GPRMC,164742.04,A,4809.8070,N,01133.4869,E,2.125,0.000,121118,,E,A*1A::$GPGGA,164742.04,4809.8070,N,01133.4869,E,1,10,1.141,641.214,M,,M,0,*4D::$GLGSV,6,5,24,75,86,89,33,76,42,215,22,82,6,325,,83,8,11,*67::$BDGSA,A,3,,,,,,,,,,,,,,,,,,,,,2.135,1.141,1.805*2F",7514,2018-11-12 17:47:41:470
-1.7621,9.2033,7.5178,-0.3213,6.877,6.9838,-1.4574,1.4832,3.0107,-0.1026,0.4068,-0.3531,3,24.06,-22.56,-28.25,279.98,-44.53,2.63,5,51.2,48.16345,11.558114,629.83,NaN,4.27,19,0,21-Nov,"$GNGSA,A,3,5,7,13,15,28,30,65,66,74,75,76,,,,,,,,,,1.936,1.031,1.639*21::$GPGSV,6,3,24,24,5,,,27,4,22,,28,45,139,32,30,70,61,34*4D::$GPGSA,A,3,5,7,13,15,28,30,,,,,,,,,,,,,,,1.936,1.031,1.639*3C::$BDGSV,6,6,24,205,17,125,,207,8,39,,210,32,51,,214,33,155,8*66::$QZGSA,A,3,,,,,,,,,,,,,,,,,,,,,1.936,1.031,1.639*2D::$GLGSA,A,3,65,66,74,75,76,,,,,,,,,,,,,,,,1.936,1.031,1.639*2E::$GPRMC,164743.83,A,4809.8074,N,01133.4849,E,1.803,0.000,121118,,E,A*1C::$GPGGA,164743.83,4809.8074,N,01133.4849,E,1,11,1.031,599.479,M,,M,0,*49::$GLGSV,6,5,24,75,86,89,32,76,42,215,19,82,6,325,,83,8,11,*6E::$BDGSA,A,3,,,,,,,,,,,,,,,,,,,,,1.936,1.031,1.639*20",8014,2018-11-12 17:47:41:970
-1.063,8.0349,8.3031,0.1797,6.7089,7.1503,-1.2322,0.7966,0.7943,0.1112,-0.2908,-0.2334,4,20.88,-24,-29.37,273.56,-41.59,0.03,5,48.978,48.16345,11.558114,629.83,NaN,4.27,19,0,21-Nov,"$GNGSA,A,3,5,7,13,15,28,30,65,66,74,75,76,,,,,,,,,,1.936,1.031,1.639*21::$GPGSV,6,3,24,24,5,,,27,4,22,,28,45,139,32,30,70,61,34*4D::$GPGSA,A,3,5,7,13,15,28,30,,,,,,,,,,,,,,,1.936,1.031,1.639*3C::$BDGSV,6,6,24,205,17,125,,207,8,39,,210,32,51,,214,33,155,8*66::$QZGSA,A,3,,,,,,,,,,,,,,,,,,,,,1.936,1.031,1.639*2D::$GLGSA,A,3,65,66,74,75,76,,,,,,,,,,,,,,,,1.936,1.031,1.639*2E::$GPRMC,164743.83,A,4809.8074,N,01133.4849,E,1.803,0.000,121118,,E,A*1C::$GPGGA,164743.83,4809.8074,N,01133.4849,E,1,11,1.031,599.479,M,,M,0,*49::$GLGSV,6,5,24,75,86,89,32,76,42,215,19,82,6,325,,83,8,11,*6E::$BDGSA,A,3,,,,,,,,,,,,,,,,,,,,,1.936,1.031,1.639*20",8514,2018-11-12 17:47:42:470
-0.2873,7.9679,6.359,-0.5527,7.011,6.8345,0.2405,0.5882,0.4124,0.226,0.452,0.0049,3,22,-23.44,-30.87,282.44,-43.11,1.21,5,59.061,48.16345,11.558114,629.83,NaN,4.27,19,0,14 / 21,"$GNGSA,A,3,5,7,13,15,21,28,30,214,65,66,72,74,75,76,,,,,,,1.436,0.851,1.156*1C::$GPGSV,6,3,24,24,5,,,27,4,22,,28,45,139,34,30,70,61,34*4B::$GPGSA,A,3,5,7,13,15,21,28,30,,,,,,,,,,,,,,1.436,0.851,1.156*33::$BDGSV,6,6,24,205,17,125,,207,8,39,,210,32,51,,214,33,155,26*5A::$QZGSA,A,3,,,,,,,,,,,,,,,,,,,,,1.436,0.851,1.156*21::$GLGSA,A,3,65,66,72,74,75,76,,,,,,,,,,,,,,,1.436,0.851,1.156*27::$GPRMC,164744.83,A,4809.8070,N,01133.4838,E,1.925,0.000,121118,,E,A*1C::$GPGGA,164744.83,4809.8070,N,01133.4838,E,1,14,0.851,598.404,M,,M,0,*4D::$GLGSV,6,5,24,75,86,88,33,76,42,215,20,82,6,325,,83,8,11,*64::$BDGSA,A,3,214,,,,,,,,,,,,,,,,,,,,1.436,0.851,1.156*1B",9014,2018-11-12 17:47:42:970
-1.0918,7.1251,6.7612,-0.304,6.8267,7.0336,-0.1997,0.2321,-1.3308,-0.011,-0.4814,-0.099,3,21.5,-25.25,-30.31,279.05,-43.39,3.13,5,54.384,48.16345,11.558114,629.83,NaN,4.27,19,0,14 / 21,"$GNGSA,A,3,5,7,13,15,21,28,30,214,65,66,72,74,75,76,,,,,,,1.436,0.851,1.156*1C::$GPGSV,6,3,24,24,5,,,27,4,22,,28,45,139,34,30,70,61,34*4B::$GPGSA,A,3,5,7,13,15,21,28,30,,,,,,,,,,,,,,1.436,0.851,1.156*33::$BDGSV,6,6,24,205,17,125,,207,8,39,,210,32,51,,214,33,155,26*5A::$QZGSA,A,3,,,,,,,,,,,,,,,,,,,,,1.436,0.851,1.156*21::$GLGSA,A,3,65,66,72,74,75,76,,,,,,,,,,,,,,,1.436,0.851,1.156*27::$GPRMC,164744.83,A,4809.8070,N,01133.4838,E,1.925,0.000,121118,,E,A*1C::$GPGGA,164744.83,4809.8070,N,01133.4838,E,1,14,0.851,598.404,M,,M,0,*4D::$GLGSV,6,5,24,75,86,88,33,76,42,215,20,82,6,325,,83,8,11,*64::$BDGSA,A,3,214,,,,,,,,,,,,,,,,,,,,1.436,0.851,1.156*1B",9514,2018-11-12 17:47:43:470
